ProgramName,Degree,Program,ProgID,TotalCredits,EmphasisName,CatalogType,CatalogYear,Description,SeriesHeading,Group_CategoryTitle,Group_CategoryNotes,GroupCredits,SubjectAbbreviation,CourseNumber,Course,Title,Credits,PreReq,CoReq,DiverseCultures
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,299,GER 299,Individual Study,1-4, as appropriate for level of project ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,340,GER 340,(German) Topics in Language,1-4, Two years of university level German or equivalent. ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,342,GER 342,Selected Readings,1-4, Completion of GER 202 or equivalent ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,343,GER 343,German Civilization,1-4, Completion of GER 202 or equivalent ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,393,GER 393,Supervised Study Abroad,1-6, Intermediate Sequence ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,442,GER 442,German Literature,1-4, Completion of readings GER 302 or equivalent,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,443,GER 443,Topics in German Studies,1-4,,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,445,GER 445,Topics in German Linguistics,1-4, Completion of a least one 300 level German course. ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,460,GER 460,Topics in German Cinema,4,,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,490,GER 490,Senior Capstone Project,1-4," GER 340, GER 341, GER 342, GER 343, GER 441. Student has to be admitted as a German major or minor and of senior standing.",,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,493,GER 493,Supervised Study Abroad: Advanced,1-6, Experience appropriate for level of credit ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,497,GER 497,Internship,1-6, Experience appropriate to project ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Major Restricted Electives,,,Electives ,Choose1 - 10 Credit(s).,GER,499,GER 499,Individual Study,1-4, As appropriate for level of project ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,GER,201,GER 201,Intermediate German I,4, GER 102 or equivalent ,,
German Teaching,BS,German Teaching - BS,4277,120,,Undergraduate,2024-2025,Prerequisites to the Major,,,,,GER,202,GER 202,Intermediate German II,4, GER 201 or equivalent ,,
